"","gender","row","seat","instructor","classid","time","att","class","material","teacher"
"306","f",6,6,"P",3,2,8,7,6,10
"307","f",6,6,"P",3,3,1,1,5,6
"308","f",6,6,"P",3,4,NA,NA,NA,NA
"309","f",6,7,"P",3,1,7,6,4,5
"310","f",6,7,"P",3,2,5,6,3,6
"311","f",6,7,"P",3,3,4,5,3,6
"312","f",6,7,"P",3,4,NA,NA,NA,NA
"313","m",1,2,"P",2,1,9,8,9,9
"314","m",1,2,"P",2,2,9,8,8,8
"315","m",1,2,"P",2,3,7,6,6,7
"316","m",1,2,"P",2,4,5,7,7,8
"317","m",1,5,"R",5,1,8,8,9,7
"318","m",1,5,"R",5,2,8,7,10,8
"319","m",1,5,"R",5,3,7,7,8,8
"320","m",1,5,"R",5,4,8,8,9,9
"321","m",1,7,"P",2,1,8,7,8,7
"322","m",1,7,"P",2,2,9,8,10,9
"323","m",1,7,"P",2,3,10,10,7,9
"324","m",1,7,"P",2,4,9,8,9,8
"325","m",1,7,"R",4,1,8,6,9,9
"326","m",1,7,"R",4,2,7,7,8,9
"327","m",1,7,"R",4,3,8,7,9,8
"328","m",1,7,"R",4,4,6,6,9,7
"329","m",1,9,"R",4,1,3,NA,8.5,8
"330","m",1,9,"R",4,2,7.5,NA,8.5,8
"331","m",1,9,"R",4,3,8,NA,9,8
"332","m",1,9,"R",4,4,3.5,NA,10,8
"333","m",1,9,"R",5,1,3.5,NA,9,8.5
"334","m",1,9,"R",5,2,9.5,NA,10,9
"335","m",1,9,"R",5,3,9.5,NA,10,10
"336","m",1,9,"R",5,4,9.5,NA,10,10
"337","m",1,10,"P",2,1,7,7,6,8
"338","m",1,10,"P",2,2,6,8,8,8
"339","m",1,10,"P",2,3,9,8,8,9
"340","m",1,10,"P",2,4,7,9,8,9
"341","m",2,1,"P",0,1,9,9,10,10
"342","m",2,1,"P",0,2,10,10,10,10
"343","m",2,1,"P",0,3,10,8,10,10
"344","m",2,1,"P",0,4,10,9,10,10
"345","m",2,1,"P",1,1,9,7,10,9
"346","m",2,1,"P",1,2,9,7,10,9
"347","m",2,1,"P",1,3,9,6,10,8
"348","m",2,1,"P",1,4,NA,NA,NA,NA
"349","m",2,1,"P",2,1,5,8,3,8
"350","m",2,1,"P",2,2,6,8,4,8
"351","m",2,1,"P",2,3,6,8,4,8
"352","m",2,1,"P",2,4,7,8,3,8
"353","m",2,1,"P",3,1,7,7,8,8
"354","m",2,1,"P",3,2,6,6,8,7
"355","m",2,1,"P",3,3,7,7,7,8
"356","m",2,1,"P",3,4,NA,NA,NA,NA
"357","m",2,2,"P",1,1,9,7,10,8
"358","m",2,2,"P",1,2,10,9,10,9
"359","m",2,2,"P",1,3,8,7,9,8
"360","m",2,2,"P",1,4,NA,NA,NA,NA
"361","m",2,2,"P",3,1,7,8,6,6
"362","m",2,2,"P",3,2,6,6,5,6
"363","m",2,2,"P",3,3,6,6,4,5
"364","m",2,2,"P",3,4,NA,NA,NA,NA
"365","m",2,3,"P",2,1,8,7,8,7
"366","m",2,3,"P",2,2,7,5,5,6
"367","m",2,3,"P",2,3,7,5,4,6
"368","m",2,3,"P",2,4,5,6,7,6
"369","m",2,3,"P",3,1,8,8,9,7
"370","m",2,3,"P",3,2,7,8,8,7
"371","m",2,3,"P",3,3,6,8,5,7
"372","m",2,3,"P",3,4,NA,NA,NA,NA
"373","m",2,3,"R",4,1,5,6,6,7
"374","m",2,3,"R",4,2,6,4,6,7
"375","m",2,3,"R",4,3,4,4,6,5
"376","m",2,3,"R",4,4,2,3,6,6
"377","m",2,3,"R",5,1,6,6,6,6
"378","m",2,3,"R",5,2,5,5,5,6
"379","m",2,3,"R",5,3,4,6,6,6
"380","m",2,3,"R",5,4,4,5,6,6
"381","m",2,3,"R",6,1,9,8,6,9
"382","m",2,3,"R",6,2,8,7.5,8.5,9
"383","m",2,3,"R",6,3,7.5,7,6.5,6
"384","m",2,3,"R",6,4,6,4.5,9.5,9
"385","m",2,4,"P",1,1,9,9,10,8
"386","m",2,4,"P",1,2,9,8,10,7
"387","m",2,4,"P",1,3,8,7,10,7
"388","m",2,4,"P",1,4,NA,NA,NA,NA
"389","m",2,4,"P",3,1,9,9,9,9
"390","m",2,4,"P",3,2,8,8,7,8
"391","m",2,4,"P",3,3,6,7,5,5
"392","m",2,4,"P",3,4,NA,NA,NA,NA
"393","m",2,4,"R",6,1,8,6.5,NA,6
"394","m",2,4,"R",6,2,8.5,6.5,NA,9
"395","m",2,4,"R",6,3,7,6,NA,9.5
"396","m",2,4,"R",6,4,6,7,NA,6
"397","m",2,5,"P",2,1,2,8,2,6
"398","m",2,5,"P",2,2,4,5,6,6
"399","m",2,5,"P",2,3,7,8,3,7
"400","m",2,5,"P",2,4,6,7,8,7
"401","m",2,5,"R",4,1,8.5,7.5,8.5,8.5
"402","m",2,5,"R",4,2,5.5,8.5,6.5,8.5
"403","m",2,5,"R",4,3,7.5,7.5,8.5,8.5
"404","m",2,5,"R",4,4,6.5,8.5,7.5,8.5
"405","m",2,5,"R",5,1,4.5,7.5,8.5,8.5
"406","m",2,5,"R",5,2,3.5,5.5,7.5,7.5
"407","m",2,5,"R",5,3,3.5,5.5,7.5,7.5
"408","m",2,5,"R",5,4,3.5,5.5,7.5,7.5
"409","m",2,6,"R",5,1,8,6,4,7
"410","m",2,6,"R",5,2,9,8,8,8
"411","m",2,6,"R",5,3,7,7,8,8
"412","m",2,6,"R",5,4,9,9,9,9
"413","m",2,6,"R",6,1,9,8,9,9
"414","m",2,6,"R",6,2,10,9,10,10
"415","m",2,6,"R",6,3,9,6,9,9
"416","m",2,6,"R",6,4,9,5,9,9
"417","m",2,7,"P",3,1,9,NA,8,9
"418","m",2,7,"P",3,2,7,NA,8,8
"419","m",2,7,"P",3,3,7,NA,8,8
"420","m",2,7,"P",3,4,NA,NA,NA,NA
"421","m",2,7,"R",5,1,7,9,8,10
"422","m",2,7,"R",5,2,8,8,9,8
"423","m",2,7,"R",5,3,7.5,8.5,9,8
"424","m",2,7,"R",5,4,10,8,9.5,9.5
"425","m",2,8,"P",1,1,10,10,9,8
"426","m",2,8,"P",1,2,10,10,10,9
"427","m",2,8,"P",1,3,9,NA,9,9
"428","m",2,8,"P",1,4,NA,NA,NA,NA
"429","m",2,9,"P",0,1,10,10,9,9
"430","m",2,9,"P",0,2,9,9,9,9
"431","m",2,9,"P",0,3,10,10,10,9
